Customer ID,Age,Gender,City,Subscription Type,Monthly Spending,Tenure,Number of Purchases,Customer Support Requests,Login Frequency,Last Activity Date,Satisfaction Score,Churn Status
CUST-10000,36,Male,Peshawar,Premium,71.88,29,20,1,1,2025-07-24,5,0
CUST-10001,38,Female,Islamabad,Premium,119.86,52,41,7,2,2025-08-13,3,1
CUST-10002,46,Male,Peshawar,Standard,58.03,70,12,5,2,2026-02-10,1,1
CUST-10003,62,Male,Peshawar,Premium,118.98,62,49,1,1,2025-07-18,2,0
CUST-10004,33,Female,Islamabad,Basic,18.3,64,24,2,27,2026-03-05,3,1
CUST-10005,30,Female,Islamabad,Premium,116.29,71,37,6,23,2025-07-01,5,0
CUST-10006,48,Male,Islamabad,Premium,85.38,22,36,1,17,2025-08-11,4,0
CUST-10007,26,Male,Islamabad,Standard,40.67,59,3,1,27,2026-04-05,1,0
CUST-10008,43,Male,Islamabad,Standard,48.15,5,9,1,15,2025-10-21,3,0
CUST-10009,59,Female,Karachi,Premium,73.86,59,23,7,1,2025-11-09,3,1
CUST-10010,51,Female,Peshawar,Basic,24.13,47,50,10,2,2026-05-28,2,1
CUST-10011,31,Male,Faisalabad,Premium,94.54,52,42,9,11,2026-04-21,2,1
CUST-10012,30,Male,Islamabad,Basic,11.46,56,24,4,23,2025-11-18,2,1
CUST-10013,30,Female,Faisalabad,Basic,27.02,61,30,5,20,2026-04-09,1,1
CUST-10014,30,Female,Lahore,Basic,15.04,11,47,0,10,2025-12-21,4,0
CUST-10015,47,Female,Peshawar,Premium,112.95,42,1,10,6,2025-10-14,5,0
CUST-10016,25,Female,Faisalabad,Premium,104.9,37,22,0,9,2025-07-27,4,0
CUST-10017,19,Male,Faisalabad,Premium,103.28,23,22,6,6,2026-03-09,3,1
CUST-10018,52,Male,Rawalpindi,Premium,84.18,8,12,6,15,2025-08-19,4,1
CUST-10019,70,Male,Peshawar,Premium,73.06,64,43,8,2,2026-06-12,4,0
CUST-10020,31,Female,Islamabad,Premium,98.81,16,27,2,28,2025-10-06,3,1
CUST-10021,18,Male,Lahore,Standard,39.15,46,20,5,4,2026-05-18,5,0
CUST-10022,67,Male,Faisalabad,Standard,32.04,34,12,0,28,2025-09-16,4,0
CUST-10023,53,Female,Faisalabad,Premium,89.08,47,47,0,6,2025-07-21,4,0
CUST-10024,26,Female,Quetta,Standard,55.05,72,14,9,22,2026-06-12,2,1
CUST-10025,70,Female,Quetta,Standard,63.9,19,7,6,11,2026-06-10,5,0
CUST-10026,39,Female,Islamabad,Basic,14.31,67,14,3,18,2026-02-17,5,0
CUST-10027,66,Male,Quetta,Standard,66.36,21,25,6,21,2025-11-03,3,1
CUST-10028,68,Male,Rawalpindi,Premium,74.31,34,16,1,1,2026-03-10,4,0
CUST-10029,34,Female,Lahore,Basic,12.67,68,30,6,29,2026-04-07,2,1
CUST-10030,34,Female,Multan,Standard,59.92,13,37,8,1,2026-01-11,2,1
CUST-10031,20,Female,Rawalpindi,Basic,16.99,7,3,1,23,2025-11-07,1,0
CUST-10032,61,Male,Karachi,Premium,109.77,64,48,1,16,2026-02-22,1,0
CUST-10033,53,Female,Faisalabad,Standard,39.86,6,36,1,28,2026-01-23,3,0
CUST-10034,28,Female,Peshawar,Standard,53.57,19,36,10,20,2026-03-13,2,1
CUST-10035,27,Male,Islamabad,Basic,14.32,17,21,0,7,2025-06-20,5,0
CUST-10036,66,Female,Peshawar,Basic,16.01,66,41,0,3,2025-12-14,2,1
CUST-10037,46,Female,Faisalabad,Standard,46.89,60,11,1,5,2026-05-07,4,0
CUST-10038,48,Male,Lahore,Basic,27.8,59,9,1,27,2025-10-11,2,1
CUST-10039,53,Male,Multan,Basic,11.61,41,7,4,14,2025-12-27,5,0
CUST-10040,60,Female,Karachi,Standard,48.1,9,25,3,10,2026-03-11,4,0
CUST-10041,69,Female,Peshawar,Premium,72.9,40,31,4,5,2025-10-21,5,0
CUST-10042,27,Female,Karachi,Standard,45.91,14,33,7,26,2025-08-27,1,1
CUST-10043,41,Male,Faisalabad,Premium,77.05,45,24,9,18,2026-03-16,3,0
CUST-10044,22,Female,Lahore,Standard,61.67,14,19,1,23,2026-05-10,2,1
CUST-10045,41,Male,Islamabad,Premium,85.01,67,19,1,29,2025-07-09,2,1
CUST-10046,37,Female,Peshawar,Premium,109.14,39,21,8,18,2025-10-30,1,1
CUST-10047,40,Female,Faisalabad,Premium,90.94,12,33,2,13,2025-10-14,1,0
CUST-10048,57,Male,Lahore,Standard,64.2,48,26,9,15,2026-03-11,4,0
CUST-10049,54,Female,Islamabad,Basic,20.98,47,19,7,30,2025-11-05,2,1
